surface_type,collision_type,severity,surface_condition,num_driver_casualties,lon,traffic_control,num_vehicles,num_passenger_casualties,num_pedestrian_casualties,record_date,lat,main_cause
Concrete,Head on,Property,Dry,0,125.65238501835863,None,2,0,0,07/03/18,7.109777307906311,Human error
Concrete,Side swipe,Property,Dry,0,125.62301625802262,Traffic lights,2,0,0,07/03/18,7.065026630306299,Human error
Concrete,Hit pedestrian,Injury,Dry,1,125.65937269693188,None,1,1,1,07/03/18,7.136538134505368,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,123.31756085483623,Centerline,1,0,1,07/03/18,13.17282635195083,Human error
Asphalt,Side swipe,Injury,Dry,1,126.07917012739956,Centerline,2,1,0,07/03/18,7.853908841034074,Human error
Asphalt,Rear end,Property,Dry,0,121.14968672089488,None,2,0,0,07/03/18,14.07997136026545,Vehicle defect
Concrete,Rear end,Property,Dry,0,125.60322877095197,None,2,0,0,07/03/18,7.064667994067483,Human error
Asphalt,Side swipe,Injury,Dry,1,121.12946867820317,None,2,0,0,07/03/18,14.258819459028386,Human error
Concrete,Side swipe,Injury,Dry,1,123.41389564418385,Pedestrian crossing,1,1,1,07/03/18,13.435002077286564,Human error
Concrete,Side swipe,Injury,Dry,1,125.59456978971268,None,2,0,0,07/03/18,7.050570110437673,Human error
Concrete,Side swipe,Injury,Dry,1,123.1791858161866,None,2,0,0,07/03/18,13.597011966710173,Human error
Concrete,Side swipe,Injury,Dry,1,124.60649750055224,None,2,1,0,07/04/18,11.02312034825633,Human error
Concrete,Rear end,Property,Wet,0,121.10763761018964,None,2,0,0,07/04/18,14.60263718346791,Vehicle defect
Concrete,Side swipe,Injury,Wet,1,121.1563161522005,None,2,0,0,07/04/18,15.569514494553394,Human error
Asphalt,Head on,Property,Dry,0,121.16970410190113,Centerline,2,0,0,07/04/18,13.382218100819463,Human error
Asphalt,Rear end,Injury,Dry,0,125.47261824443365,None,2,1,0,07/04/18,6.941782033186864,Human error
Asphalt,Head on,Injury,Dry,2,120.35732898424078,Centerline,2,4,0,07/04/18,16.387624962933305,Human error
Concrete,Side swipe,Property,Dry,0,121.58987838092438,None,2,0,0,07/04/18,13.946304382178477,Human error
Concrete,Rear end,Property,Dry,0,125.00907441604943,None,2,0,0,07/04/18,11.205262841833688,Human error
Asphalt,Side swipe,Property,Dry,0,120.98297472277035,None,2,0,0,07/04/18,14.662695509978118,Human error
Concrete,Hit pedestrian,Injury,Dry,1,120.40187028029008,None,1,1,1,07/04/18,16.08159175791057,Human error
Concrete,Rear end,Property,Dry,0,120.94407087426593,None,2,0,0,07/04/18,14.429607594045,Human error
Asphalt,Rear end,Property,Dry,0,123.26971923064649,None,2,0,0,07/04/18,9.186024512737985,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,121.50460364744187,None,1,0,1,07/04/18,14.482081260511317,Human error
Concrete,Side swipe,Property,Dry,0,124.76146807734018,None,2,0,0,07/04/18,10.52498317480568,Human error
Concrete,Rear end,Injury,Dry,1,124.91123407409601,None,2,0,0,07/04/18,6.375883932692751,Human error
Asphalt,Head on,Fatal,Dry,1,125.93770325127971,None,2,0,0,07/04/18,7.581081735945894,Human error
Asphalt,Side swipe,Property,Dry,0,120.59557638219648,Centerline,2,0,0,07/04/18,15.379441925587836,Human error
Asphalt,Side swipe,Injury,Dry,2,123.3266576231184,None,2,0,0,07/04/18,10.357460603187606,Human error
Concrete,Right angle,Property,Dry,0,121.04498480531444,None,2,0,0,07/04/18,14.75625624881091,Human error
Concrete,Right angle,Injury,Dry,2,122.70508083306486,None,2,0,0,07/04/18,9.382651626942739,Human error
Concrete,Hit parked vehicle,Property,Dry,0,124.98755487737904,None,2,0,0,07/04/18,10.393126411207714,Human error
Asphalt,Side swipe,Property,Dry,0,120.97676090017555,None,2,0,0,07/04/18,14.686039575007527,Human error
Asphalt,Side swipe,Injury,Dry,2,123.18410558137846,None,2,2,0,07/04/18,13.646566454779522,Human error
Asphalt,Rear end,Injury,Wet,1,125.00351307613349,Centerline,2,1,0,07/05/18,7.759720410374935,Human error
Concrete,Hit animal,Fatal,Dry,0,125.9881366641561,None,1,0,1,07/05/18,7.016675195890579,Human error
Asphalt,Hit object off road,Property,Dry,0,121.41947923121197,None,1,0,0,07/05/18,16.650428979160203,Vehicle defect
Asphalt,Right angle,Injury,Dry,1,120.97600812611276,Police controlled,2,0,0,07/05/18,14.689288783738633,Human error
Concrete,Head on,Injury,Dry,1,123.20101590195215,None,2,0,0,07/05/18,13.621686937478932,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,123.38362286132121,None,1,0,1,07/05/18,13.55690018575449,Human error
Concrete,Overturned vehicle,Fatal,Dry,0,123.3759079753656,Centerline,1,0,1,07/05/18,13.357402747416902,Human error
Asphalt,Side swipe,Injury,Dry,2,123.36460600112383,None,2,0,0,07/05/18,13.547167980407686,Human error
Asphalt,Right angle,Property,Dry,0,123.86191685536171,None,2,0,0,07/06/18,8.164568089092105,Human error
Concrete,Head on,Injury,Dry,2,120.59186036941709,None,2,2,0,07/06/18,15.326245105610464,Human error
Concrete,Rear end,Property,Dry,0,120.59689911813963,Centerline,2,0,0,07/06/18,16.447001730912998,Human error
Concrete,Rear end,Injury,Dry,0,124.57515397897207,Centerline,2,1,0,07/06/18,11.234187726255515,Vehicle defect
Concrete,Side swipe,Injury,Dry,2,125.54334252023735,None,2,0,0,07/06/18,8.924769308341387,Human error
Concrete,Side swipe,Injury,Dry,1,124.01620024097541,Centerline,2,0,0,07/06/18,8.183617119330664,Human error
Concrete,Rear end,Property,Dry,0,123.4170980936282,Centerline,2,0,0,07/06/18,13.426969898588782,Human error
Asphalt,Overturned vehicle,Injury,Dry,0,123.66302775719267,None,1,4,0,07/06/18,12.326750711574114,Human error
Asphalt,Hit object in road,Fatal,Dry,1,123.13801926402789,None,1,4,0,07/06/18,8.516112954240143,Human error
Asphalt,Hit object off road,Injury,Dry,1,122.20914960300702,Centerline,1,0,0,07/06/18,10.634172762318629,Human error
Concrete,Right angle,Property,Dry,0,125.46311761967453,None,2,0,0,07/06/18,7.323036531304776,Human error
Concrete,Side swipe,Injury,Dry,2,123.32356118199596,None,2,0,0,07/07/18,10.3365892901574,Human error
Asphalt,Rear end,Property,Dry,0,120.94361181824081,None,2,0,0,07/07/18,15.062893342831076,Human error
Concrete,Rear end,Property,Dry,0,121.00074698448321,None,2,0,0,07/07/18,14.597469245361024,Human error
Concrete,Head on,Fatal,Dry,1,121.79731088383119,None,2,1,0,07/07/18,16.081386844171803,Human error
Concrete,Hit pedestrian,Injury,Dry,0,123.1521202115597,None,1,0,1,07/07/18,9.903775952245805,Human error
Asphalt,Right angle,Injury,Dry,1,123.28544564967693,Police controlled,2,0,0,07/07/18,13.539962531078956,Human error
Asphalt,Overturned vehicle,Injury,Dry,1,120.95714108000335,None,2,0,0,07/08/18,14.710592487621797,Human error
Asphalt,Side swipe,Injury,Dry,1,125.38538201365952,None,2,1,0,07/08/18,6.5935886594773505,Vehicle defect
Concrete,Rear end,Property,Dry,0,121.06729786152964,Traffic lights,2,0,0,07/08/18,14.55834007409662,Human error
Concrete,Hit object in road,Property,Dry,0,125.49412463858619,None,1,0,0,07/08/18,8.937453675957281,Human error
Concrete,Hit animal,Property,Wet,0,125.61737773441432,None,1,0,0,07/08/18,11.34488359153901,Vehicle defect
Concrete,Rear end,Property,Dry,0,125.58744085306523,None,2,0,0,07/08/18,7.051146211506337,Human error
Asphalt,Hit parked vehicle,Injury,Dry,1,125.47130571061834,None,2,0,0,07/08/18,6.919052423777586,Human error
Concrete,Hit pedestrian,Injury,Dry,0,125.66335768722037,None,1,0,1,07/08/18,7.151591300198538,Human error
Concrete,Hit pedestrian,Fatal,Dry,0,125.75695312089493,None,1,0,2,07/09/18,7.379450302397428,Human error
Concrete,Hit pedestrian,Injury,Dry,0,120.12067699484815,Centerline,1,0,1,07/09/18,16.04661243357452,Human error
Asphalt,Side swipe,Injury,Wet,1,121.86423472426846,None,2,0,0,07/09/18,17.10928117695356,Human error
Asphalt,Rear end,Property,Dry,0,123.18514445563953,None,2,0,0,07/09/18,13.608530353236025,Human error
Asphalt,Rear end,Property,Dry,0,121.14118987361164,None,2,0,0,07/09/18,13.98817323099989,Human error
Concrete,Side swipe,Injury,Dry,1,125.00150170625052,Centerline,2,0,0,07/09/18,7.763203126805356,Human error
Concrete,Side swipe,Injury,Dry,1,120.99506727037235,None,2,0,0,07/09/18,14.709826927816744,Human error
Concrete,Rear end,Property,Dry,0,120.88831177834446,None,2,0,0,07/09/18,14.429054517320052,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,122.85596714424061,None,1,2,0,07/10/18,10.4077072381553,Human error
Concrete,Rear end,Property,Dry,0,125.60368971260486,Centerline,2,0,0,07/10/18,7.0565391989057735,Human error
Concrete,Side swipe,Injury,Dry,2,120.26011601431975,None,2,2,0,07/10/18,15.838129274281314,Road defect
Concrete,Rear end,Property,Dry,0,120.40547486632755,None,2,0,0,07/10/18,15.986452992924537,Human error
Asphalt,Side swipe,Fatal,Dry,2,125.35267342196511,None,2,2,0,07/10/18,6.650427952437783,Human error
Concrete,Hit pedestrian,Injury,Dry,1,125.7540829406801,None,1,0,1,07/10/18,8.716816636870451,Human error
Asphalt,Rear end,Injury,Wet,1,120.44869265051656,None,2,0,0,07/10/18,14.864254676904201,Human error
Concrete,Hit pedestrian,Injury,Dry,0,120.59236515455547,Centerline,1,0,1,07/10/18,16.44770957734551,Human error
Asphalt,Hit pedestrian,Injury,Dry,1,124.80958079986723,None,1,0,1,07/10/18,12.001977219832064,Human error
Concrete,Overturned vehicle,Injury,Dry,0,125.22343249272527,None,3,2,0,07/10/18,6.810525952427677,Human error
Asphalt,Side swipe,Injury,Dry,1,123.70226504293461,None,2,0,0,07/10/18,13.07495158588019,Human error
Asphalt,Right angle,Injury,Dry,1,120.58139825506083,None,2,1,0,07/11/18,15.943598431178017,Human error
Concrete,Side swipe,Property,Dry,0,125.6257435649701,Centerline,2,0,0,07/11/18,7.072688115938286,Human error
Concrete,Hit pedestrian,Injury,Dry,0,124.68123143688356,Centerline,1,0,2,07/11/18,9.25397219805064,Human error
Concrete,Hit pedestrian,Injury,Dry,0,120.95909331056296,Pedestrian crossing,1,0,1,07/11/18,14.717100334974443,Human error
Asphalt,Hit parked vehicle,Fatal,Dry,1,120.67992455553856,None,1,0,0,07/11/18,15.024798806513976,Human error
Concrete,Head on,Injury,Dry,1,125.70531931987546,None,2,2,0,07/11/18,7.079438126068968,Human error
Asphalt,Rear end,Injury,Dry,2,123.52883985990267,Centerline,2,0,0,07/11/18,13.716305195013417,Human error
Asphalt,Hit object off road,Injury,Dry,1,124.6595856181799,Centerline,1,0,0,07/11/18,8.48405324324576,Human error
Concrete,Hit parked vehicle,Property,Dry,0,125.61969895465535,Centerline,2,0,0,07/11/18,7.0946788522218585,Human error
Concrete,Hit pedestrian,Fatal,Dry,1,120.45711168765048,None,1,0,1,07/11/18,17.796456582212777,Human error
Concrete,Right angle,Property,Dry,0,120.60463729926026,None,2,0,0,07/11/18,16.411349811436374,Human error
Concrete,Hit parked vehicle,Injury,Wet,1,122.55074395909406,None,2,0,0,07/11/18,10.520496808728797,Human error
Concrete,Hit pedestrian,Injury,Dry,0,124.24492738687135,Centerline,1,0,1,07/11/18,8.239609595449494,Human error
Concrete,Rear end,Property,Dry,0,120.67036488792664,Centerline,2,0,0,07/12/18,15.040657329738575,Human error
Asphalt,Hit pedestrian,Fatal,Dry,0,124.97751362041083,Centerline,1,0,1,07/12/18,8.348702644015825,Human error
Concrete,Rear end,Injury,Dry,1,124.6841188567853,None,1,1,0,07/12/18,9.119658896203529,Human error
Concrete,Side swipe,Property,Dry,0,125.51172245543455,None,2,0,0,07/12/18,7.028076601881146,Human error
Asphalt,Right angle,Injury,Dry,1,121.25446103825533,Centerline,2,0,0,07/12/18,16.580566085043515,Human error
Asphalt,Rear end,Property,Dry,0,125.34910741843166,Centerline,4,0,0,07/12/18,6.626470996851041,Human error
Asphalt,Head on,Injury,Dry,1,123.38117611184273,None,2,0,0,07/12/18,8.61834091918983,Human error
Asphalt,Hit pedestrian,Injury,Dry,1,123.37474118481339,None,1,0,1,07/12/18,13.406455408538635,Human error
Asphalt,Rear end,Property,Dry,0,123.27010485061436,None,2,0,0,07/12/18,9.196414162417458,Human error
Concrete,Rear end,Property,Dry,0,120.95954060120663,None,2,0,0,07/13/18,14.461260840803535,Human error
Asphalt,Hit pedestrian,Fatal,Dry,1,123.29265551369934,Pedestrian crossing,1,0,1,07/13/18,9.329991606495467,Human error
Asphalt,Head on,Injury,Dry,2,123.7264118064473,None,2,2,0,07/13/18,12.282514309474022,Human error
Concrete,Side swipe,Injury,Dry,2,125.66296302484533,Centerline,2,0,0,07/13/18,7.136552792634642,Human error
Concrete,Side swipe,Injury,Dry,1,124.64005527615844,Centerline,2,0,0,07/13/18,11.293118670961405,Human error
Asphalt,Head on,Property,Dry,0,121.46679936748696,None,2,0,0,07/13/18,13.932639123728075,Road defect
Asphalt,Rear end,Property,Dry,0,125.45321314035048,None,2,0,0,07/13/18,9.805107528712568,Road defect
Asphalt,Rear end,Injury,Dry,0,123.62822592455682,None,2,2,0,07/13/18,10.059968455238272,Human error
Concrete,Hit pedestrian,Injury,Dry,0,124.70045685893834,None,1,0,1,07/13/18,9.248001011599126,Human error
Concrete,Rear end,Property,Dry,0,120.59612802755096,Centerline,2,0,0,07/13/18,16.466421978058747,Human error
Concrete,Rear end,Property,Dry,0,121.05597997909979,Traffic lights,2,0,0,07/13/18,14.597822115857584,Human error
Concrete,Rear end,Injury,Dry,1,125.48521722257321,None,2,1,0,07/13/18,9.775157157037471,Human error
Concrete,Hit pedestrian,Fatal,Dry,0,121.58851618112746,None,1,0,1,07/13/18,16.879289279659343,Human error
Asphalt,Rear end,Fatal,Dry,1,122.97925684803549,None,2,0,0,07/14/18,14.112563589890708,Human error
Concrete,Side swipe,Property,Dry,0,120.88902280714636,None,2,0,0,07/14/18,14.432504521938464,Human error
Concrete,Overturned vehicle,Injury,Dry,1,121.1090388166013,Centerline,1,0,0,07/14/18,16.37671533993197,Human error
Concrete,Rear end,Property,Dry,0,125.51261255937409,None,2,0,0,07/14/18,7.051868006333327,Vehicle defect
Concrete,Hit pedestrian,Injury,Dry,0,124.09583217955887,None,1,0,1,07/14/18,9.912077750173856,Human error
Asphalt,Rear end,Property,Dry,0,120.9997246320572,None,2,0,0,07/14/18,14.433400192427595,Human error
Concrete,Overturned vehicle,Injury,Dry,1,123.39313553159121,None,1,0,0,07/14/18,13.55676767642896,Human error
Concrete,Right angle,Injury,Dry,2,120.59992945980753,None,2,0,0,07/15/18,15.443869716052344,Human error
Concrete,Rear end,Property,Dry,0,124.87194354491854,None,2,0,0,07/15/18,10.12721499296339,Vehicle defect
Asphalt,Side swipe,Property,Dry,0,124.57142196934484,None,2,0,0,07/15/18,8.532917764870106,Human error
Concrete,Overturned vehicle,Fatal,Dry,1,124.46281856188239,None,2,0,0,07/15/18,9.871353280370144,Human error
Concrete,Rear end,Property,Dry,0,120.90618455173895,None,2,0,0,07/15/18,14.436491909282056,Human error
Concrete,Right angle,Property,Dry,0,125.59182279881259,Centerline,2,0,0,07/15/18,7.049648117818384,Human error
Concrete,Side swipe,Injury,Dry,1,123.51476263306648,Centerline,2,1,0,07/15/18,13.61045114546235,Human error
Concrete,Side swipe,Property,Dry,0,124.44860589920025,None,2,0,0,07/15/18,10.92202079641535,Human error
Asphalt,Side swipe,Injury,Dry,1,125.07414894204773,None,2,1,0,07/16/18,7.8860989215263135,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,120.58746168594497,Pedestrian crossing,1,0,1,07/16/18,15.661228175040057,Human error
Asphalt,Rear end,Injury,Wet,1,125.97412027354471,None,2,0,0,07/16/18,7.623576351158983,Human error
Concrete,Right angle,Property,Dry,0,125.60555100493892,None,2,0,0,07/16/18,7.05785784857354,Human error
Concrete,Rear end,Property,Dry,0,120.98099632290736,None,3,0,0,07/16/18,14.130951915555126,Human error
